Map,Random,MaxImmediateDistance,MCTS,QLearning,DQN
2024-12-06 10:34:45,48,48.0,48.0,48.0,48.0
2024-12-06 10:33:52,-558,48.0,15.0,-760.0,227.0
2024-12-06 10:28:46,48,48.0,48.0,-154.0,48.0
2024-12-06 10:33:55,-457,-356.0,-558.0,-1164.0,-53.0
2024-12-06 10:34:42,-53,48.0,367.0,48.0,508.0
2024-12-06 10:30:11,-1265,-457.0,48.0,-53.0,-154.0
2024-12-06 10:33:36,-154,48.0,48.0,-659.0,-255.0
2024-12-06 10:34:21,-659,-659.0,-962.0,-1366.0,-962.0
2024-12-06 10:33:09,-356,-760.0,-760.0,-861.0,-760.0
2024-12-06 10:34:26,48,48.0,48.0,48.0,48.0
2024-12-06 10:30:16,48,48.0,-154.0,48.0,48.0
2024-12-06 10:34:19,48,48.0,488.0,48.0,48.0
2024-12-06 10:28:22,-46,-659.0,-558.0,-659.0,498.0
2024-12-06 10:30:29,48,48.0,48.0,48.0,48.0
2024-12-06 10:34:10,-1164,48.0,16.0,-558.0,-154.0
2024-12-06 10:33:07,-457,188.0,468.0,48.0,306.0
